"Name","Alias","Barcode","Coordinate","Reception Date","Source","Species","Volume (ul)","Reception Concentration (ng/ul)","Measured Concentration (ng/ul)","Quantity (ng)","Review State","QC Date","Number of Bases","Number of Reads HiSeq","Array Technology Quote","MPS Quote","Bioinformatics Quote","Validation Quote"
"17-10-12-st2","17-10-12-st2","MPS12300599","H04","2016-07-08","gDNA","Bacteria_Phage","43","1.7","2.4","103.0","Approved (client)","7/20/16","2,116,235,750","8,464,943","","SCI016297; SCI016296","",""
"18-08-08-st2","18-08-08-st2","MPS12300599","C02","2016-07-08","gDNA","Bacteria_Phage","47","1.7","2.9","134.3","Approved (client)","7/20/16","2,192,707,750","8,770,831","","SCI016297; SCI016296","",""
"18-Alessandra","18-Alessandra","MPS12300599","D06","2016-07-08","gDNA","Cyanobacteria","22","1.7","1.2","25.5","Approved (client)","7/20/16","2,526,723,000","10,106,892","","SCI016297; SCI016296","",""
"19-03-15-st2","19-03-15-st2","MPS12300599","E05","2016-07-08","gDNA","Bacteria_Phage","51","1.7","4.0","205.4","Approved (client)","7/20/16","2,647,750,750","10,591,003","","SCI016297; SCI016296","",""
"19-10-10-st2","19-10-10-st2","MPS12300599","E03","2016-07-08","gDNA","Bacteria_Phage","34","1.7","1.6","55.0","Approved (client)","7/20/16","8,213,069,250","32,852,277","","SCI016297; SCI016296","",""
"19-11-08-st1","19-11-08-st1","MPS12300599","D02","2016-07-08","gDNA","Bacteria_Phage","40","1.7","2.1","81.8","Approved (client)","7/20/16","2,550,116,500","10,200,466","","SCI016297; SCI016296","",""
"20-05-09-st1","20-05-09-st1","MPS12300599","E02","2016-07-08","gDNA","Bacteria_Phage","35","1.7","1.8","62.0","Approved (client)","7/20/16","2,176,527,250","8,706,109","","SCI016297; SCI016296","",""
"20-07-12-st1","20-07-12-st1","MPS12300599","D04","2016-07-08","gDNA","Bacteria_Phage","41","1.7","2.1","87.6","Approved (client)","7/20/16","2,471,179,000","9,884,716","","SCI016297; SCI016296","",""
"20-Alessandra","20-Alessandra","MPS12300599","E06","2016-07-08","gDNA","Cyanobacteria","","1.7","0.3","","Approved (client)","7/20/16","2,939,547,000","11,758,188","","SCI016297; SCI016296","",""
"21-10-15-st1","21-10-15-st1","MPS12300599","A06","2016-07-08","gDNA","Bacteria_Phage","38","1.7","1.9","74.8","Approved (client)","7/20/16","2,553,025,250","10,212,101","","SCI016297; SCI016296","",""
"22-05-08-st1","22-05-08-st1","MPS12300599","G01","2016-07-08","gDNA","Bacteria_Phage","36","1.7","1.8","62.6","Approved (client)","7/20/16","2,307,217,500","9,228,870","","SCI016297; SCI016296","",""
"22-08-10-st1","22-08-10-st1","MPS12300599","D03","2016-07-08","gDNA","Bacteria_Phage","32","1.7","1.6","49.8","Approved (client)","7/20/16","2,713,747,500","10,854,990","","SCI016297; SCI016296","",""
"23-08-11-st2","23-08-11-st2","MPS12300599","H03","2016-07-08","gDNA","Bacteria_Phage","40","1.7","2.1","82.5","Approved (client)","7/20/16","2,712,310,000","10,849,240","","SCI016297; SCI016296","",""
"23-09-09-st2","23-09-09-st2","MPS12300599","A03","2016-07-08","gDNA","Bacteria_Phage","30","1.7","1.5","45.4","Approved (client)","7/20/16","2,153,678,500","8,614,714","","SCI016297; SCI016296","",""
"23-10-13-st1","23-10-13-st1","MPS12300599","D05","2016-07-08","gDNA","Bacteria_Phage","38","1.7","1.9","74.2","Approved (client)","7/20/16","1,884,813,000","7,539,252","","SCI016297; SCI016296","",""
"24-04-12-st1","24-04-12-st1","MPS12300599","C04","2016-07-08","gDNA","Bacteria_Phage","39","1.7","2.0","77.4","Approved (client)","7/20/16","1,777,080,500","7,108,322","","SCI016297; SCI016296","",""
"25-07-09-st1","25-07-09-st1","MPS12300599","G02","2016-07-08","gDNA","Bacteria_Phage","39","1.7","2.0","79.9","Approved (client)","7/20/16","7,564,749,000","30,258,996","","SCI016297; SCI016296","",""
"25-07-09-st2","25-07-09-st2","MPS12300599","H02","2016-07-08","gDNA","Bacteria_Phage","42","1.7","2.2","92.7","Approved (client)","7/20/16","2,873,715,000","11,494,860","","SCI016297; SCI016296","",""
"26-07-10-st1","26-07-10-st1","MPS12300599","C03","2016-07-08","gDNA","Bacteria_Phage","43","1.7","2.4","104.2","Approved (client)","7/20/16","3,118,890,750","12,475,563","","SCI016297; SCI016296","",""
"26-09-06-st2","26-09-06-st2","MPS12300599","F01","2016-07-08","gDNA","Bacteria_Phage","40","1.7","2.1","83.1","Approved (client)","7/20/16","2,053,104,500","8,212,418","","SCI016297; SCI016296","",""
"27-08-13-st1","27-08-13-st1","MPS12300599","B05","2016-07-08","gDNA","Bacteria_Phage","39","1.7","2.0","79.3","Approved (client)","7/20/16","1,920,037,000","7,680,148","","SCI016297; SCI016296","",""
"30-05-06-st1","30-05-06-st1","MPS12300599","A01","2016-07-08","gDNA","Bacteria_Phage","43","1.7","2.4","105.5","Approved (client)","7/20/16","0","0","","SCI016297; SCI016296","",""
"31-07-15-litt","31-07-15-litt","MPS12300599","F05","2016-07-08","gDNA","Bacteria_Phage","41","1.7","2.2","88.2","Approved (client)","7/20/16","2,263,955,500","9,055,822","","SCI016297; SCI016296","",""
